"Transmitter","number_of_detections","first_detection","last_detection","animal_short_name","Transmitter_SN","tag_family","when_encountered","capture_method","tag_lat","tag_lon","tag_location","sex","TNL_cm","SciName","est_tag_expiry_date","Owner","standard_length_cm","disk_length"
"A69-9002-3591",42,2021-07-20 10:08:24,2022-01-06 07:39:41,"2021-22",1382586,"V16TP-6x-BLU-2-0204m",2021-06-02,"dart",34.39888,-119.545,"Carpinteria","F",183,"Carcharodon carcharias","5/31/2031","Chris Lowe",NA,NA
"A69-1602-16711",41,2019-05-30 16:18:52,2019-07-03 18:32:53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-9001-24663",41,2015-07-10 08:33:06,2018-07-25 10:18:27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galeorhinus galeus",NA,NA,NA,NA
"A69-1601-36266",40,2016-05-24 20:21:21,2016-07-02 22:02:46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stereolepis gigas",NA,NA,NA,NA
"A69-1303-45049",39,2018-04-23 13:02:02,2019-06-04 11:31:03,"2017-08",1104202,"V16-6x-069k-1",2017-05-10,"strikenet",33.745119,-118.11974,"Unknown","F",182,"Carcharodon carcharias","8/29/2025","Chris Lowe",NA,NA
"A69-1602-3229",39,2018-05-26 03:04:42,2018-07-03 05:23:48,"2018-03",1276576,"V13-1x-069k-3",2018-04-15,"dart",34.41,-119.556,"Unknown","U",167,"Carcharodon carcharias","1/28/2020","Chris Lowe",NA,NA
"A69-9001-13353",36,2019-09-10 17:10:56,2021-10-06 08:03:59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galeorhinus galeus",NA,NA,NA,NA
"A69-9001-4341",36,2021-03-24 20:42:53,2021-12-29 01:49:34,"2021-04",1342062,"V16-4x-069k-2",2021-03-24,"dart",34.407222,-119.552222,"Carpinteria","F",198,"Carcharodon carcharias","3/23/2025","Chris Lowe",NA,NA
"A69-9004-12228",35,2022-12-28 01:03:04,2023-02-16 19:24:38,"2022-87",1513521,"V16P-6x-BLU-2-0204m",2022-10-20,"dart",34.468201,-120.195776,"Gaviota","F",228.6,"Carcharodon carcharias","10/17/2032","Chris Lowe",NA,NA
"A69-1602-16714",32,2020-11-24 16:33:40,2022-04-18 19:23:22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1602-9717",32,2018-07-19 18:44:11,2019-07-03 18:19:58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-9001-12148",32,2018-08-29 09:19:42,2018-09-21 13:29:09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1602-41962",31,2021-04-26 15:28:35,2021-09-25 15:48:39,"2021-13",1362752,"V13-1x-BLU-3",2021-04-01,"dart",32.951648,-117.270783,"Del Mar","M",152,"Carcharodon carcharias","3/9/2022","Chris Lowe",NA,NA
"A69-9001-55589",31,2023-01-29 17:55:58,2023-02-20 08:28:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-9001-62299",30,2021-10-17 12:30:48,2021-11-17 04:54:38,"2021-65",1394096,"V16-6x-BLU-2",2021-10-16,"dart",34.402052,-119.546619,"Carpinteria","F",243,"Carcharodon carcharias","10/14/2031","Chris Lowe",NA,NA
