Date.and.Time..UTC.,Receiver,Transmitter,Transmitter.Name,Transmitter.Serial,Sensor.Value,Sensor.Unit,Station.Name,Latitude,Longitude,Local_Time,Date,Month,Year,Hour,Season,Island,First_Detection,Last_Detection,animal_short_name,Transmitter_SN,tag_family,when_encountered,capture_method,tag_lat,tag_lon,tag_location,sex,TNL_cm,est_tag_expiry_date,Owner,standard_length_cm,disk_length,SciName
2015-05-16T04:19:37Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-16T04:19:37Z,2015-05-16,5,2015,21,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-16T04:21:44Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-16T04:21:44Z,2015-05-16,5,2015,21,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-16T04:24:48Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-16T04:24:48Z,2015-05-16,5,2015,21,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-16T04:26:31Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-16T04:26:31Z,2015-05-16,5,2015,21,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-16T04:35:39Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-16T04:35:39Z,2015-05-16,5,2015,21,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-17T12:36:22Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-17T12:36:22Z,2015-05-17,5,2015,5,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-17T12:41:12Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-17T12:41:12Z,2015-05-17,5,2015,5,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-17T12:43:57Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-17T12:43:57Z,2015-05-17,5,2015,5,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-17T12:46:40Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-17T12:46:40Z,2015-05-17,5,2015,5,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
2015-05-17T12:49:23Z,VR2W-121275,A69-9001-24664,NA,NA,NA,NA,WCO_Carrington Point,34.02515,-120.0829,2015-05-17T12:49:23Z,2015-05-17,5,2015,5,Spring,Santa Rosa,2015-05-08,2019-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myliobatis californica
