Transmitter,Days_Detected,First_Detection,Last_Detection,animal_short_name,Transmitter_SN,tag_family,when_encountered,capture_method,tag_lat,tag_lon,tag_location,sex,TNL_cm,SciName,est_tag_expiry_date,Owner,standard_length_cm,disk_length,FL
A69-9002-4562,40,2021-08-13,2023-03-02,2021-37,1370688,V16P-6x-BLU-2-0680m,2021-08-12,dart,34.394522,-119.538109,Carpinteria,F,305,Carcharodon carcharias,11/28/2027,Chris Lowe,NA,NA,NA
A69-9007-608,40,2021-08-28,2021-11-17,2021-49,1362765,V13TP-1x-BLU-3-0034m,2021-08-27,dart,34.395263,-119.539781,Carpinteria,F,289,Carcharodon carcharias,5/13/2022,Chris Lowe,NA,NA,NA
A69-9007-609,39,2021-08-28,2021-11-17,2021-49,1362765,V13TP-1x-BLU-3-0034m,2021-08-27,dart,34.395263,-119.539781,Carpinteria,F,289,Carcharodon carcharias,5/13/2022,Chris Lowe,NA,NA,NA
A69-9001-63057,38,2021-09-09,2021-12-03,2021-51,1382603,V16-6x-BLU-2,2021-09-10,dart,34.412692,-119.561933,Carpinteria,F,274,Carcharodon carcharias,9/8/2031,Chris Lowe,NA,NA,NA
A69-9001-22770,36,2017-01-26,2019-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9001-24596,36,2016-07-20,2019-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9002-4561,33,2021-08-28,2022-02-15,2021-35,1370687,V16P-6x-BLU-2-0680m,2021-08-02,dart,34.4136,-119.56364,Carpinteria,F,183,Carcharodon carcharias,11/18/2027,Chris Lowe,NA,NA,NA
A69-1602-8658,32,2020-09-04,2020-11-14,2020-41,1294996,V13-1x-069k-3,2020-09-02,dart,34.397899,-119.539882,Carpinteria,U,198,Carcharodon carcharias,4/27/2022,Chris Lowe,NA,NA,NA
A69-9001-24661,32,2015-07-10,2016-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9004-12229,32,2022-05-09,2023-03-05,2022-16,1513522,V16P-6x-BLU-2-0204m,2022-04-27,dart,34.40894,-119.556,Carpinteria,F,213.36,Carcharodon carcharias,4/24/2032,Chris Lowe,NA,NA,NA
A69-9006-7851,30,2020-07-21,2021-01-09,2020-19,1342089,V13P-1x-069k-3-0034m,2020-05-21,dart,34.404,-119.5475,Carpinteria,M,155,Carcharodon carcharias,1/13/2021,Chris Lowe,NA,NA,NA
A69-9006-7854,30,2020-08-01,2021-03-13,2020-33,1342092,V13P-1x-069k-3-0034m,2020-07-31,dart,34.397899,-119.539882,Carpinteria,U,183,Carcharodon carcharias,3/25/2021,Chris Lowe,NA,NA,NA
A69-1601-30031,29,2020-12-18,2021-06-13,2017-09,1144531,V16-6x-069k-1,2017-05-17,strikenet,33.746748,118.128611,Unknown,F,176,Carcharodon carcharias,9/11/2025,Chris Lowe,NA,NA,NA
A69-1601-62009,29,2020-11-11,2020-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-9007-612,29,2021-05-22,2022-02-22,2021-15,1362767,V13TP-1x-BLU-3-0034m,2021-05-04,dart,34.41528,-119.5614,Carpinteria,M,183,Carcharodon carcharias,1/18/2022,Chris Lowe,NA,NA,NA
A69-1601-30029,28,2014-09-06,2023-10-14,2012-07,1144529,V16-6x-069k-1,2012-08-16,purse_seine,33.991,-118.484,Unknown,M,145,Carcharodon carcharias,12/11/2020,Chris Lowe,NA,NA,NA
A69-9001-4331,28,2020-07-22,2021-04-17,2020-22,1342052,V16-4x-069k-2,2020-05-21,dart,34.404,-119.5475,Carpinteria,F,259,Carcharodon carcharias,5/20/2024,Chris Lowe,NA,NA,NA
A69-9001-4336,28,2020-08-31,2022-10-11,2020-40,1342057,V16-4x-069k-2,2020-08-25,dart,34.401352,-119.551955,Carpinteria,U,244,Carcharodon carcharias,8/24/2024,Chris Lowe,NA,NA,NA
A69-9001-22778,26,2017-05-10,2023-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-1602-12255,25,2023-10-08,2024-04-06,DDT-LS-23-01,1307114,V13-1x-BLU-1,2023-09-22,NA,NA,NA,Channel Islands,F,NA,Triakis semifasciata,NA,Chris Lowe,88,NA,NA
A69-9001-26872,25,2014-05-06,2017-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-1602-3237,24,2020-07-31,2020-10-29,2020-34,1276584,V13-1x-069k-3,2020-07-31,dart,34.397899,-119.539882,Carpinteria,U,239,Carcharodon carcharias,5/15/2022,Chris Lowe,NA,NA,NA
A69-9001-8575,24,2020-07-23,2021-03-22,2020-03,1301916,V16-4x-069k-2,2020-01-15,dart,35.20901,-120.86189,Diablo Canyon,F,259,Carcharodon carcharias,10/3/2025,Chris Lowe,NA,NA,NA
A69-1602-8668,22,2020-09-03,2021-06-29,2020-35,1295006,V13-1x-069k-3,2020-09-02,dart,34.397899,-119.539882,Carpinteria,F,183,Carcharodon carcharias,4/27/2022,Chris Lowe,NA,NA,NA
A69-1602-8672,22,2020-09-05,2021-10-14,2020-42,1295010,V13-1x-069k-3,2020-09-03,dart,34.397899,-119.539882,Carpinteria,F,230,Carcharodon carcharias,4/28/2022,Chris Lowe,NA,NA,NA
A69-9002-4559,22,2021-08-21,2021-11-11,2021-38,1370685,V16P-6x-BLU-2-0680m,2021-08-13,dart,34.394043,-119.54009,Carpinteria,F,274,Carcharodon carcharias,11/29/2027,Chris Lowe,NA,NA,NA
A69-9004-12219,21,2023-10-20,2023-12-18,2023-34,1513512,V16P-6x-BLU-2-0204m,2023-09-15,dart,35.2091,-120.8613,Diablo Canyon,M,335.3,Carcharodon carcharias,9/12/2033,Chris Lowe,NA,NA,NA
A69-9006-7853,21,2020-07-23,2020-11-10,2020-20,1342091,V13P-1x-069k-3-0034m,2020-05-21,dart,34.404,-119.5475,Carpinteria,M,155,Carcharodon carcharias,1/13/2021,Chris Lowe,NA,NA,NA
A69-9001-13343,20,2019-10-15,2020-11-09,NA,1273150,NA,2019-07-03,NA,NA,NA,NCI,F,123,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,108
A69-9001-8009,20,2019-10-24,2020-11-30,NA,1305801,NA,2019-07-02,NA,NA,NA,NCI,F,151,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,131
A69-9002-4560,20,2021-09-13,2021-11-26,2021-36,1370686,V16P-6x-BLU-2-0680m,2021-08-02,dart,34.394147,-119.53609,Carpinteria,F,305,Carcharodon carcharias,11/18/2027,Chris Lowe,NA,NA,NA
A69-9007-613,20,2021-05-06,2022-02-22,2021-15,1362767,V13TP-1x-BLU-3-0034m,2021-05-04,dart,34.41528,-119.5614,Carpinteria,M,183,Carcharodon carcharias,1/18/2022,Chris Lowe,NA,NA,NA
A69-1602-16714,19,2020-11-24,2022-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-9002-3590,19,2021-06-06,2022-01-22,2021-22,1382586,V16TP-6x-BLU-2-0204m,2021-06-02,dart,34.39888,-119.545,Carpinteria,F,183,Carcharodon carcharias,5/31/2031,Chris Lowe,NA,NA,NA
A69-9001-12140,18,2018-01-21,2018-03-26,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2017,NA,442,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-9001-4330,18,2020-07-21,2020-08-20,2020-17,1342051,V16-4x-069k-2,2020-05-06,dart,34.404,-119.5475,Carpinteria,F,259,Carcharodon carcharias,5/5/2024,Chris Lowe,NA,NA,NA
A69-9004-12208,18,2023-10-21,2024-05-01,2022-38,1513501,V16P-6x-BLU-2-0204m,2022-07-18,dart,32.921059,-117.262477,Torrey Pines,U,228,Carcharodon carcharias,7/15/2032,Chris Lowe,NA,NA,NA
A69-9004-12233,18,2023-11-25,2024-04-29,2022-49,1513465,V16TP-6x-BLU-2-0204m,2022-08-09,dart,32.9093,-117.259,Torrey Pines,F,213.4,Carcharodon carcharias,8/6/2032,Chris Lowe,NA,NA,NA
A69-1602-12252,17,2023-08-22,2024-03-13,DDT-BR-23-03,1307111,V13-1x-BLU-1,2023-07-28,NA,NA,NA,Channel Islands,F,NA,Myliobatis californica,NA,Chris Lowe,NA,116,NA
A69-1602-58593,17,2020-08-07,2021-02-24,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2019,NA,335,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-9001-62301,17,2021-11-06,2023-12-17,2021-63,1394098,V16-6x-BLU-2,2021-10-06,dart,34.41,-119.558,Carpinteria,M,183,Carcharodon carcharias,10/4/2031,Chris Lowe,NA,NA,NA
A69-1602-54057,16,2021-09-27,2021-12-31,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2020,NA,366,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-9001-8565,16,2020-05-07,2021-03-19,2019-13,1301906,V16-4x-069k-2,2019-10-07,dart,35.20901,-120.86189,Diablo Canyon,U,289.56,Carcharodon carcharias,6/25/2025,Chris Lowe,NA,NA,NA
A69-1602-8671,15,2020-09-05,2020-10-26,2020-43,1295009,V13-1x-069k-3,2020-09-04,dart,34.397899,-119.539882,Carpinteria,F,259,Carcharodon carcharias,4/29/2022,Chris Lowe,NA,NA,NA
A69-9001-26873,15,2015-06-19,2017-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9002-3591,15,2021-07-20,2022-01-06,2021-22,1382586,V16TP-6x-BLU-2-0204m,2021-06-02,dart,34.39888,-119.545,Carpinteria,F,183,Carcharodon carcharias,5/31/2031,Chris Lowe,NA,NA,NA
A69-1602-16718,14,2020-10-15,2020-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,Ryan Freedman,NA,NA,NA
A69-9001-24586,14,2017-07-06,2019-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9001-24667,14,2014-11-24,2014-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9001-26868,14,2014-10-31,2015-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9001-26871,14,2015-06-30,2016-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9001-4712,14,2022-11-05,2023-10-26,2022-84,1336196,V16-6x,2022-10-17,gillnet,34.123889,-119.275286,Oxnard,M,166.9,Carcharodon carcharias,10/14/2032,Chris Lowe,NA,NA,NA
A69-9004-12190,14,2023-08-07,2024-05-02,2022-80,1513483,V16P-6x-BLU-2-0204m,2022-09-26,dart,32.91873,-117.26042,Torrey Pines,M,198.1,Carcharodon carcharias,9/23/2032,Chris Lowe,NA,NA,NA
A69-9004-12234,14,2023-11-24,2024-04-07,2022-49,1513465,V16TP-6x-BLU-2-0204m,2022-08-09,dart,32.9093,-117.259,Torrey Pines,F,213.4,Carcharodon carcharias,8/6/2032,Chris Lowe,NA,NA,NA
A69-9004-14395,14,2021-08-31,2021-10-30,2021-46,1394090,V16TP-6x-BLU-2-0204m,2021-08-27,dart,34.408573,-119.558748,Carpinteria,F,228,Carcharodon carcharias,8/25/2031,Chris Lowe,NA,NA,NA
A69-9007-611,14,2021-06-05,2021-11-13,2021-26,1362766,V13TP-1x-BLU-3-0034m,2021-06-02,dart,34.41016,-119.557,Carpinteria,F,168,Carcharodon carcharias,2/16/2022,Chris Lowe,NA,NA,NA
A69-1303-45049,13,2018-04-23,2019-06-04,2017-08,1104202,V16-6x-069k-1,2017-05-10,strikenet,33.745119,-118.11974,Unknown,F,182,Carcharodon carcharias,8/29/2025,Chris Lowe,NA,NA,NA
A69-1303-52074,13,2013-11-30,2014-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-1601-46826,13,2017-06-29,2017-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-1601-46843,13,2017-06-29,2017-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-1602-41969,13,2021-09-21,2022-11-03,21-bat_ray-03,1362759,V13-1x-BLU-3,2021-09-21,NA,34.392918,-119.540398,Santa Barbara,M,NA,Myliobatis californica,8/29/2022,Chris Lowe,61,86,NA
A69-9001-12060,13,2018-03-20,2020-03-17,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2017,NA,335,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-9004-14394,13,2021-08-31,2021-10-29,2021-46,1394090,V16TP-6x-BLU-2-0204m,2021-08-27,dart,34.408573,-119.558748,Carpinteria,F,228,Carcharodon carcharias,8/25/2031,Chris Lowe,NA,NA,NA
A69-9007-610,13,2021-06-05,2021-11-13,2021-26,1362766,V13TP-1x-BLU-3-0034m,2021-06-02,dart,34.41016,-119.557,Carpinteria,F,168,Carcharodon carcharias,2/16/2022,Chris Lowe,NA,NA,NA
A69-1601-46760,12,2017-06-29,2017-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A69-1604-64957,12,2023-10-27,2024-03-31,DDT-LS-23-06,1575867,V13-1x-BLU-1,2023-09-22,NA,NA,NA,Channel Islands,F,NA,Triakis semifasciata,NA,Chris Lowe,99.5,NA,NA
A69-9001-12153,12,2020-03-16,2020-05-14,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2017,NA,274,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-9001-22769,12,2021-02-04,2021-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,Andrew Nosal,NA,NA,NA
A69-9001-62299,12,2021-10-17,2021-11-17,2021-65,1394096,V16-6x-BLU-2,2021-10-16,dart,34.402052,-119.546619,Carpinteria,F,243,Carcharodon carcharias,10/14/2031,Chris Lowe,NA,NA,NA
A69-9004-14386,12,2021-09-11,2022-11-27,2021-44,1394086,V16TP-6x-BLU-2-0204m,2021-08-27,dart,34.307401,-119.553178,Carpinteria,F,213,Carcharodon carcharias,8/25/2031,Chris Lowe,NA,NA,NA
A69-9004-14392,12,2021-09-13,2022-01-10,2021-47,1394089,V16TP-6x-BLU-2-0204m,2021-08-27,dart,34.410823,-119.558748,Carpinteria,M,243,Carcharodon carcharias,8/25/2031,Chris Lowe,NA,NA,NA
A69-9001-4343,11,2021-03-24,2021-04-30,2021-03,1342064,V16-4x-069k-2,2021-03-24,dart,34.401111,-119.546389,Carpinteria,F,243,Carcharodon carcharias,3/23/2025,Chris Lowe,NA,NA,NA
A69-9001-63062,11,2021-08-01,2021-10-26,2021-34,1382608,V16-6x-BLU-2,2021-07-29,dart,34.4097,-119.55908,Carpinteria,F,243,Carcharodon carcharias,7/27/2031,Chris Lowe,NA,NA,NA
A69-9002-10990,11,2024-01-06,2024-03-12,2023-30,1568228,V13AP-1x-BLU-3,2023-09-14,dart,32.91955,-117.26091,Torrey Pines,U,213.4,Carcharodon carcharias,5/28/2025,Chris Lowe,NA,NA,NA
A69-9002-9538,11,2023-11-18,2024-04-09,2023-41,1560394,V16P-6x-BLU-2-0204m,2023-10-03,dart,34.38872,-119.54331,Carpinteria,F,243.8,Carcharodon carcharias,9/30/2033,Chris Lowe,NA,NA,NA
A69-9004-12228,11,2022-12-28,2024-05-06,2022-87,1513521,V16P-6x-BLU-2-0204m,2022-10-20,dart,34.468201,-120.195776,Gaviota,F,228.6,Carcharodon carcharias,10/17/2032,Chris Lowe,NA,NA,NA
A69-9004-14387,11,2021-09-11,2022-11-27,2021-44,1394086,V16TP-6x-BLU-2-0204m,2021-08-27,dart,34.307401,-119.553178,Carpinteria,F,213,Carcharodon carcharias,8/25/2031,Chris Lowe,NA,NA,NA
A69-1602-12250,10,2023-10-19,2024-03-15,DDT-BR-23-07,1307109,V13-1x-BLU-1,2023-09-19,NA,NA,NA,Channel Islands,F,NA,Myliobatis californica,NA,Chris Lowe,NA,74,NA
A69-1602-12253,10,2023-09-23,2023-10-15,DDT-BR-23-08,1307112,V13-1x-BLU-1,2023-09-19,NA,NA,NA,Channel Islands,F,NA,Myliobatis californica,NA,Chris Lowe,NA,115,NA
A69-1602-41963,10,2021-09-21,2021-11-03,21-bat_ray-01,1362753,V13-1x-BLU-3,2021-09-21,NA,34.392918,-119.540398,Santa Barbara,F,NA,Myliobatis californica,8/29/2022,Chris Lowe,65,96,NA
A69-1602-58596,10,2020-07-03,2020-09-10,NA,NA,NA,NA,NA,NA,NA,Ano Nuevo 2019,NA,396,Carcharodon carcharias,NA,Barbara Block,NA,NA,NA
A69-1604-64951,10,2023-10-06,2023-12-24,DDT-LS-23-07,1575861,V13-1x-BLU-1,2023-09-22,NA,NA,NA,Channel Islands,M,NA,Triakis semifasciata,NA,Chris Lowe,103,NA,NA
A69-9002-10991,10,2024-01-14,2024-03-11,2023-30,1568228,V13AP-1x-BLU-3,2023-09-14,dart,32.91955,-117.26091,Torrey Pines,U,213.4,Carcharodon carcharias,5/28/2025,Chris Lowe,NA,NA,NA
A69-9004-14393,10,2021-09-13,2022-01-10,2021-47,1394089,V16TP-6x-BLU-2-0204m,2021-08-27,dart,34.410823,-119.558748,Carpinteria,M,243,Carcharodon carcharias,8/25/2031,Chris Lowe,NA,NA,NA
A69-9006-4060,10,2019-05-12,2019-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
