Transmitter,animal_short_name,Transmitter_SN,tag_family,capture_method,tag_lat,tag_lon,tag_location,sex,est_tag_expiry_date,Owner,standard_length_cm,disk_length,SciName,TNL_cm,when_encountered,last_detection,first_detection,number_of_detections
A69-1601-62806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-22T17:33:58Z,2019-05-22T17:33:41Z,2
A69-1602-1352,2017-28,1270633,V13-1x-069k-3,dart,34.41136,-119.5584,Unknown,U,6/8/2019,Chris Lowe,NA,NA,Carcharodon carcharias,304,2017-08-24,2018-05-09T13:43:33Z,2018-05-09T13:41:13Z,2
A69-1602-14302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-14T19:16:05Z,2019-10-02T14:46:00Z,2
A69-1602-46492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-11T19:43:34Z,2017-03-11T19:41:32Z,2
A69-1602-48637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-26T15:21:46Z,2017-10-23T16:57:35Z,2
A69-1602-48947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-24T13:49:26Z,2019-07-28T17:46:50Z,2
A69-1602-52300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-22T20:57:18Z,2022-05-22T15:52:12Z,2
A69-1602-58084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-29T00:49:43Z,2021-10-29T00:47:59Z,2
A69-9001-13339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2020-12-02T20:45:16Z,2019-11-03T15:23:42Z,2
A69-9001-55571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,351,2022-11-04,2023-09-17T02:37:58Z,2023-09-17T02:33:32Z,2
A69-9001-63061,2021-54,1382607,V16-6x-BLU-2,dart,32.947642,-117.267535,Del Mar,F,9/8/2031,Chris Lowe,NA,NA,Carcharodon carcharias,213.36,2021-09-10,2022-02-11T12:24:40Z,2022-02-11T12:21:22Z,2
A69-9001-8574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-11-30T15:55:32Z,2021-11-30T15:53:32Z,2
A69-9001-8577,2020-02,1301918,V16-4x-069k-2,dart,35.20901,-120.86189,Diablo Canyon,F,10/3/2025,Chris Lowe,NA,NA,Carcharodon carcharias,259,2020-01-15,2020-01-30T04:52:40Z,2020-01-30T04:50:45Z,2
A69-9004-12232,2022-28,1513464,V16TP-6x-BLU-2-0204m,dart,34.4072883,-119.5527697,Carpinteria,M,6/12/2032,Chris Lowe,NA,NA,Carcharodon carcharias,274,2022-06-15,2022-07-25T22:46:20Z,2022-07-24T02:26:22Z,2
A69-9004-12237,2022-47,1513467,V16TP-6x-BLU-2-0204m,dart,32.9129,-117.261,Torrey Pines,F,8/6/2032,Chris Lowe,NA,NA,Carcharodon carcharias,213.4,2022-08-09,2023-07-14T16:47:13Z,2023-07-14T12:30:45Z,2
A69-9004-14391,2021-50,1394088,V16TP-6x-BLU-2-0204m,dart,34.412137,-119.568694,Carpinteria,F,9/6/2031,Chris Lowe,NA,NA,Carcharodon carcharias,198,2021-09-08,2021-10-05T09:22:19Z,2021-09-22T05:49:06Z,2
