Transmitter,animal_short_name,Transmitter_SN,tag_family,capture_method,tag_lat,tag_lon,tag_location,sex,est_tag_expiry_date,Owner,standard_length_cm,disk_length,SciName,TNL_cm,when_encountered,last_detection,first_detection,number_of_detections
A69-9006-7851,2020-19,1342089,V13P-1x-069k-3-0034m,dart,34.404,-119.5475,Carpinteria,M,1/13/2021,Chris Lowe,NA,NA,Carcharodon carcharias,155,2020-05-21,2021-01-09T12:25:27Z,2020-07-21T18:59:59Z,359
A69-9001-4332,2020-18,1342053,V16-4x-069k-2,dart,34.404,-119.5475,Carpinteria,F,5/5/2024,Chris Lowe,NA,NA,Carcharodon carcharias,229,2020-05-06,2021-11-30T12:42:26Z,2020-09-25T14:54:15Z,354
A69-9004-12186,2022-59,1513479,V16P-6x-BLU-2-0204m,dart,32.91394,-117.26196,Torrey Pines,M,8/30/2032,Chris Lowe,NA,NA,Carcharodon carcharias,198.1,2022-09-02,2023-04-30T18:47:08Z,2022-10-03T18:00:42Z,345
A69-9002-4562,2021-37,1370688,V16P-6x-BLU-2-0680m,dart,34.394522,-119.538109,Carpinteria,F,11/28/2027,Chris Lowe,NA,NA,Carcharodon carcharias,305,2021-08-12,2023-03-02T06:34:53Z,2021-08-13T08:15:55Z,329
A69-9006-7854,2020-33,1342092,V13P-1x-069k-3-0034m,dart,34.397899,-119.539882,Carpinteria,U,3/25/2021,Chris Lowe,NA,NA,Carcharodon carcharias,183,2020-07-31,2021-03-13T17:18:52Z,2020-08-01T06:50:17Z,312
A69-9001-13343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2020-11-09T20:29:24Z,2019-10-15T21:59:31Z,303
A69-9001-4331,2020-22,1342052,V16-4x-069k-2,dart,34.404,-119.5475,Carpinteria,F,5/20/2024,Chris Lowe,NA,NA,Carcharodon carcharias,259,2020-05-21,2021-04-17T10:30:35Z,2020-07-22T11:50:44Z,290
A69-1602-41969,21-bat_ray-03,1362759,V13-1x-BLU-3,NA,34.392918,-119.540398,Santa Barbara,M,8/29/2022,Chris Lowe,61,86,Myliobatis californica,NA,2021-09-21,2022-11-03T00:40:00Z,2021-09-21T22:17:04Z,265
A69-9006-4060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-29T01:27:28Z,2019-05-12T22:48:59Z,250
A69-9001-26872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2017-05-10T06:04:37Z,2014-05-06T12:45:50Z,249
